Interactor1	Interactor2	Interaction
P13473	Q99497	R-HSA-9625170
P13473	Q3SXY8	R-HSA-9625170
O95613	P08670	R-HSA-9625170
Q9UBN7	Q9UBN7	R-HSA-9625170
P68871	Q13099	R-HSA-9625170
O95613	Q99541	R-HSA-9625170
P07998	P07998	R-HSA-9625170
P07900	Q3SXY8	R-HSA-9625170
P13569	Q99541	R-HSA-9625170
Q3SXY8	Q3SXY8	R-HSA-9625170
P68871	P13569	R-HSA-9625170
O95613	P13569	R-HSA-9625170
Q12798	Q12798	R-HSA-9625170
O60664	P07998	R-HSA-9625170
Q12798	O60664	R-HSA-9625170
O60664	P68871	R-HSA-9624156
P08670	P08670	R-HSA-9624156
P13569	P13569	R-HSA-9624156
Q13099	Q3SXY8	R-HSA-9624156
P07900	Q3SXY8	R-HSA-9624156
Q12798	Q99541	R-HSA-9624156
P13569	Q12798	R-HSA-9624156
Q99497	P13473	R-HSA-9624156
P07998	O95613	R-HSA-9624156
O60664	Q99541	R-HSA-9624156
P07998	Q3SXY8	R-HSA-9624156
P07900	O60664	R-HSA-9624156
P13569	O60664	R-HSA-9624156
Q13099	P13473	R-HSA-9624156
Q99497	Q9UBN7	R-HSA-9624156
Q3SXY8	P68871	R-HSA-9624156
P08670	Q3SXY8	R-HSA-9624156
P08670	Q13099	R-HSA-9624156
P07998	Q99541	R-HSA-9624156
P07998	P13473	R-HSA-9624156
P08670	O95613	R-HSA-9624156
P13569	Q13099	R-HSA-9624156
P13569	P68871	R-HSA-9624156
P08238	Q99497	R-HSA-9624156
P08238	Q3SXY8	R-HSA-9624156
Q3SXY8	Q3SXY8	R-HSA-9624156
Q12798	P13473	R-HSA-9624156
Q12798	Q12798	R-HSA-9624156
P08238	O60664	R-HSA-9624156
Q3SXY8	Q99541	R-HSA-9624156
Q9UBN7	P68871	R-HSA-9624156
Q99497	Q99497	R-HSA-9624156
P08238	P13473	R-HSA-9624156
O95613	Q99497	R-HSA-9624156
Q12798	Q99497	R-HSA-9624156
O60664	P13473	R-HSA-9624156
Q3SXY8	O60664	R-HSA-9624156
P08670	Q99541	R-HSA-9624156
P08670	P68871	R-HSA-9624156
P13569	Q99497	R-HSA-9624156
Q3SXY8	P13473	R-HSA-9624156
P07998	P68871	R-HSA-9624156
Q9UBN7	P13473	R-HSA-9624156
P07998	P08670	R-HSA-9624156
P07998	P07998	R-HSA-9624156
P13569	O95613	R-HSA-9624156
P07900	Q9UBN7	R-HSA-9624156
Q99541	P13473	R-HSA-9624156
P07900	P08670	R-HSA-9624156
P08670	O60664	R-HSA-9624156
P07998	O60664	R-HSA-9624156
P13569	P13473	R-HSA-9624156
O95613	Q12798	R-HSA-9624156
P08238	Q99541	R-HSA-9624156
Q3SXY8	Q9UBN7	R-HSA-9624156
P07998	Q99497	R-HSA-9624156
P07900	P08238	R-HSA-9624156
Q13099	O60664	R-HSA-9624156
P07900	P13569	R-HSA-9624156
P08238	P68871	R-HSA-9624156
P13473	P13473	R-HSA-9624156
Q9UBN7	Q9UBN7	R-HSA-9624156
P13569	Q99541	R-HSA-9624156
Q13099	Q99497	R-HSA-9624156
P08670	P13473	R-HSA-9624156
O95613	P13473	R-HSA-9624156
P08238	P08238	R-HSA-9624156
P07998	Q13099	R-HSA-9624156
O60664	O60664	R-HSA-9624156
Q9UBN7	O60664	R-HSA-9624156
Q3SXY8	Q99497	R-HSA-9624156
P08238	P08670	R-HSA-9624156
P08670	Q99497	R-HSA-9624156
O95613	Q9UBN7	R-HSA-9624156
Q12798	Q9UBN7	R-HSA-9624156
P07900	Q99541	R-HSA-9624156
P08238	P07998	R-HSA-9624156
Q99541	Q99541	R-HSA-9624156
Q99541	P68871	R-HSA-9624156
P68871	P13473	R-HSA-9624156
Q3SXY8	O95613	R-HSA-9624156
P68871	P68871	R-HSA-9624156
P08238	P13569	R-HSA-9624156
P07900	P68871	R-HSA-9624156
Q99497	Q99541	R-HSA-9624156
P07998	Q9UBN7	R-HSA-9624156
P07900	Q13099	R-HSA-9624156
P07998	Q12798	R-HSA-9624156
P07900	P07998	R-HSA-9624156
Q99497	P68871	R-HSA-9624156
Q13099	Q9UBN7	R-HSA-9624156
O95613	O95613	R-HSA-9624156
P08670	Q9UBN7	R-HSA-9624156
O95613	Q99541	R-HSA-9624156
P08670	Q12798	R-HSA-9624156
P08238	O95613	R-HSA-9624156
Q13099	P68871	R-HSA-9624156
P13569	Q3SXY8	R-HSA-9624156
Q13099	Q12798	R-HSA-9624156
P07900	P07900	R-HSA-9624156
O95613	P68871	R-HSA-9624156
Q3SXY8	Q12798	R-HSA-9624156
P07900	Q99497	R-HSA-9624156
Q13099	O95613	R-HSA-9624156
P07900	Q12798	R-HSA-9624156
O95613	O60664	R-HSA-9624156
Q12798	O60664	R-HSA-9624156
Q99497	O60664	R-HSA-9624156
P08670	P13569	R-HSA-9624156
P08238	Q13099	R-HSA-9624156
Q9UBN7	Q99541	R-HSA-9624156
Q13099	Q13099	R-HSA-9624156
Q13099	Q99541	R-HSA-9624156
P08238	Q12798	R-HSA-9624156
P07900	P13473	R-HSA-9624156
P07998	P13569	R-HSA-9624156
P13569	Q9UBN7	R-HSA-9624156
Q12798	P68871	R-HSA-9624156
P08238	Q9UBN7	R-HSA-9624156
P07900	O95613	R-HSA-9624156
P02788	P02788	R-HSA-977101
P02545	P02545	R-HSA-5228493
P02545	P02545	R-HSA-5228493
P02545	P02545	R-HSA-5228493
Q9UDY8	Q9UDY8	R-HSA-2685673
Q9C000	Q9C000	R-HSA-1296412
Q9C000	30616	R-HSA-1296412
Q9C000	59414	R-HSA-1296412
Q08431	Q08431	R-HSA-977096
P20273	P20273	R-HSA-5690698
46661	P05067	R-NUL-1296409
P09616	P05067	R-NUL-1296409
Q96P20	P09616	R-NUL-1296409
16336	P09616	R-NUL-1296409
P09616	P09616	R-NUL-1296409
46661	P09616	R-NUL-1296409
Q96P20	46661	R-NUL-1296409
30563	P05067	R-NUL-1296409
16336	P05067	R-NUL-1296409
Q96P20	P05067	R-NUL-1296409
Q96P20	30563	R-NUL-1296409
30563	P09616	R-NUL-1296409
Q96P20	16336	R-NUL-1296409
Q96P20	Q96P20	R-NUL-1296409
P05067	P05067	R-NUL-1296409
Q96P20	Q96P20	R-HSA-9685276
A1E959	A1E959	R-HSA-977087
Q9NP85	Q9NP85	R-HSA-451771
P08670	P08670	R-HSA-9646678
P08670	P08670	R-HSA-9660015
P08670	P08670	R-HSA-9660029
P08670	P08670	R-HSA-9657899
P01236	P01236	R-HSA-976974
P27918	P27918	R-HSA-182548
Q9BZR6	Q9BZR6	R-HSA-194455
Q8IWY4	Q8IWY4	R-HSA-8943989
Q8IX30	Q8IX30	R-HSA-8943989
Q8IX30	Q8IWY4	R-HSA-8943989
Q8IX30	Q8IX30	R-HSA-8943994
Q8IWL2	Q8IWL1	R-HSA-391092
Q8IWL1	Q8IWL1	R-HSA-391092
Q8IWL2	Q8IWL2	R-HSA-391092
P35247	P35247	R-HSA-391097
P04279	P04279	R-HSA-977079
P02462	P02462	R-HSA-2682389
P08572	P02462	R-HSA-2682389
P08572	P02462	R-HSA-2682389
P08572	P02462	R-HSA-2682389
P08572	P08572	R-HSA-2682389
P08572	P02462	R-HSA-2682389
P08572	P02462	R-HSA-2682389
P02462	P02462	R-HSA-2682389
P02462	P02462	R-HSA-2682389
P08572	P02462	R-HSA-2682389
P02462	P02462	R-HSA-2682389
P02462	P02462	R-HSA-2682389
P08572	P08572	R-HSA-2682389
P08572	P08572	R-HSA-2682389
P08572	P08572	R-HSA-2682389
P02462	P02462	R-HSA-2682389
P08572	P02462	R-HSA-2682389
P08572	P02462	R-HSA-2682389
P08572	P08572	R-HSA-2682389
P08572	P08572	R-HSA-2682389
P08572	P02462	R-HSA-2682389
P08572	P08572	R-HSA-2682390
P02462	P02462	R-HSA-2682390
P08572	P08572	R-HSA-2682390
P08572	P02462	R-HSA-2682390
P08572	P02462	R-HSA-2682390
P29400	P29400	R-HSA-2682390
P29400	P08572	R-HSA-2682390
P08572	P08572	R-HSA-2682390
Q14031	Q14031	R-HSA-2682390
P08572	P02462	R-HSA-2682390
P29400	P02462	R-HSA-2682390
P29400	P29400	R-HSA-2682390
Q14031	P08572	R-HSA-2682390
P29400	P08572	R-HSA-2682390
Q14031	P29400	R-HSA-2682390
Q14031	P02462	R-HSA-2682390
P08572	P08572	R-HSA-2682390
P08572	P02462	R-HSA-2682390
P29400	P08572	R-HSA-2682390
Q14031	P29400	R-HSA-2682390
Q14031	P29400	R-HSA-2682390
P02462	P02462	R-HSA-2682390
P02462	P02462	R-HSA-2682390
Q14031	P08572	R-HSA-2682390
P29400	P08572	R-HSA-2682390
Q14031	P02462	R-HSA-2682390
Q14031	Q14031	R-HSA-2682390
Q14031	P29400	R-HSA-2682390
P29400	P08572	R-HSA-2682390
